date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-03-30,16.8,8.45,8.15,-0.5,,-2,85,57.3,58,31,2.5,-0.5,-0.1,-2.7,28,12,16,4,33,20,102.15,101.64,101.62,101.1,100.41,99.92,99.91,99.4,16100,16100,16100,16100,3.4,2.7,2.8,2.1,9.8,0,3.1,1.1,0,,,,,07:00:00,19:39:00,12.65,7,19.65,5,6,15,15,8,9,,3,0.2,1.5,0,,,,,,,,
2021-03-29,6.9,2.42,3.1,-0.7,,-7,83,62.3,61,39,-0.9,-4.4,-4.2,-7.6,35,22.58,22,9,63,30,102.3,101.91,101.55,100.8,100.56,100.17,99.82,99.09,16100,16100,16100,16100,2.5,2.2,2.1,1.8,14.9,0,0,0,0,0,,,,07:02:00,19:38:00,12.6,7.03,19.63,5,5,7,7,0,0,,4,1.9,2,0,,,,,,,,
2021-03-28,10.3,5.56,5.45,0.6,,,100,82.7,83,66,7.7,2.8,2.9,-1.9,45,21,24.5,4,72,29,101.3,100.18,100.39,99.47,99.58,98.48,98.69,97.79,16100,13545.8,10450,4800,2,1.7,1.8,1.5,12.6,0,0.4,0,0,7.9,,,,07:04:00,19:37:00,12.55,7.07,19.62,2,2,11,11,-1,-1,,4,3.8,3.5,3,,,,,,,,
2021-03-27,7.3,4.17,4.9,2.5,,,85,75.2,76,67,1.2,0.1,0.4,-0.5,21,10.29,10.5,0,32,20,102.22,101.95,101.79,101.36,100.48,100.21,100.06,99.64,16100,16100,16100,16100,1.9,1.6,1.4,1,13.1,0,0,0,0,0,,,,07:06:00,19:36:00,12.5,7.1,19.6,3,4,9,11,3,4,,4,3.6,2,0,,,,,,,,
2021-03-26,12.6,6.81,7.44,2.3,,,100,92,90.5,81,10.2,5.6,5.4,0.6,35,19.62,17.5,0,74,8,101.99,100.67,100.74,99.49,100.26,98.98,99.05,97.84,16100,13291.7,10450,4800,2.3,1.8,1.9,1.5,10.6,0,2.4,0.4,0,20.4,,,,07:08:00,19:34:00,12.43,7.13,19.57,2,2,11,11,-2,1,,4,4,3.5,3,,,,,,,,
2021-03-25,18.1,11.33,9.95,1.8,,,100,75.9,74,48,9.5,6.7,6,2.4,24,9.38,12,0,41,19,101.48,101.18,101.19,100.9,99.78,99.49,99.5,99.22,16100,13008.3,8650,1200,2.8,2.1,2,1.2,8.1,0,5,3,0,1.2,,,,07:09:00,19:33:00,12.4,7.15,19.55,6,6,17,20,9,9,,4,1.3,2,0,,,,,,,,
2021-03-24,16.1,11.52,12,7.9,,,95,71.4,68,41,10.4,6.3,3.8,-2.9,26,14.88,17,8,37,11,101.74,101.31,101.31,100.87,100.04,99.61,99.62,99.19,16100,15900,13700,11300,3.5,2.5,2.6,1.7,6,0,7,5,2,0.8,,,,07:11:00,19:32:00,12.35,7.18,19.53,2,2,16,16,6,7,,4,3.4,2.5,1,,,,,,,,
2021-03-23,15.4,8.4,6.6,-2.2,,-4,81,43.8,52.5,24,-2.5,-4.6,-4.4,-6.3,17,8.71,8.5,0,,,102.32,102.1,102.03,101.73,100.59,100.37,100.3,100.02,16100,16100,16100,16100,3.9,2.8,2.8,1.6,11.4,0,1.6,0,0,0,,,,07:13:00,19:31:00,12.3,7.22,19.52,6,6,14,16,8,9,,4,1.5,2,0,,,,,,,,
2021-03-22,15.1,6,5.65,-3.8,,-7,82,48.6,54,26,-1.7,-5.4,-4.7,-7.7,18,8.12,9,0,,,102.72,102.47,102.46,102.19,100.99,100.74,100.73,100.47,16100,16100,16100,16100,3.3,2.1,2.2,1.2,12.3,0,0.6,0,0,0,,,,07:15:00,19:29:00,12.23,7.25,19.48,6,6,14,14,0,0,,1,0,0.5,0,,,,,,,,
2021-03-21,14.7,4.52,5.15,-4.4,,-8,88,51.3,54,20,-2.7,-6.5,-5.9,-9.1,11,7.08,7.5,4,,,103.45,103.17,103.11,102.76,101.69,101.42,101.36,101.02,16100,16100,16100,16100,3,2.1,2.1,1.2,12.8,0,0.2,0,0,0,,,,07:17:00,19:28:00,12.18,7.28,19.47,4,5,13,14,-1,1,,0,0,0,0,,,,,,,,
